osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/616339818,Wind Farm,T_LNCSW-2,LNCSO-2,T,auto,
way/616339818,Wind Farm,T_NOKYW-1,NOKYW-1,T,auto,
way/616339818,Wind Farm,T_NOKYW-2,NOKYW-2,T,auto,
way/616339818,Wind Farm,T_STRNW-1,STRNW-1,T,auto,
way/681690951,South Antrim Phase 11,2__HLOND003,AG-HEDF03,S,auto,
way/681690951,South Antrim Phase 11,V__KWELS001,AG-WSP01K,V,auto,
way/681690951,South Antrim Phase 11,V__KWELS002,AG-WSP02K,V,auto,
way/681690951,South Antrim Phase 11,T_CLDSW-1,CLDSW-1,T,auto,
way/681690951,South Antrim Phase 11,2__JEDFE000,SEE-EDF01,G,auto,
way/681690951,South Antrim Phase 11,T_SHBA-1,SHBA-1,T,auto,
way/681690951,South Antrim Phase 11,T_SHBA-2,SHBA-2,T,auto,
way/681690951,South Antrim Phase 11,T_SOKYW-1,SOKYW-1,T,auto,
way/681690951,South Antrim Phase 11,2__NIMPO000,SSC-ATL01,G,auto,
way/681690951,South Antrim Phase 11,2__NEDFE000,SSC-EDF01,G,auto,
way/681690951,South Antrim Phase 11,2__NHYDE000,SSC-SSE01,G,auto,
way/681690951,South Antrim Phase 11,2__NSOUT000,SSC-STH01,G,auto,
way/681690951,South Antrim Phase 11,2__NSWAE000,SSC-SWA01,G,auto,
way/681690951,South Antrim Phase 11,2__KEDFE000,SWA-EDF01,G,auto,
way/681690951,South Antrim Phase 11,2__KMIDE000,SWA-MID01,G,auto,
way/681690951,South Antrim Phase 11,2__KNATP000,SWA-NPE01,G,auto,
way/681690951,South Antrim Phase 11,2__LEDFE000,SWT-EDF01,G,auto,
way/681690951,South Antrim Phase 11,2__LMIDE000,SWT-MID01,G,auto,
way/681690951,South Antrim Phase 11,2__LNATP000,SWT-NPE01,G,auto,
way/709009443,"Site To North East Of, Lochcraigs Farm",T_WILCT-1,WILCT-1,T,auto,
way/746012677,Solar Farm,T_BLPFS-1,BLPFS-1,T,auto,
way/746012677,Solar Farm,T_CLVHS-1,CLVHS-1,T,auto,
way/746012677,Solar Farm,T_CLVHS-2,CLVHS-2,T,auto,
way/746012677,Solar Farm,T_LARKS-1,LARKS-1,T,auto,
way/746012677,Solar Farm,T_TYLNS-1,TYLNS-1,T,auto,
way/840181785,South Cathkin Landfill Site,2__HLOND003,AG-HEDF03,S,auto,
way/840181785,South Cathkin Landfill Site,V__KWELS001,AG-WSP01K,V,auto,
way/840181785,South Cathkin Landfill Site,V__KWELS002,AG-WSP02K,V,auto,
way/840181785,South Cathkin Landfill Site,T_CLDSW-1,CLDSW-1,T,auto,
way/840181785,South Cathkin Landfill Site,2__JEDFE000,SEE-EDF01,G,auto,
way/840181785,South Cathkin Landfill Site,T_SHBA-1,SHBA-1,T,auto,
way/840181785,South Cathkin Landfill Site,T_SHBA-2,SHBA-2,T,auto,
way/840181785,South Cathkin Landfill Site,T_SOKYW-1,SOKYW-1,T,auto,
way/840181785,South Cathkin Landfill Site,2__NIMPO000,SSC-ATL01,G,auto,
way/840181785,South Cathkin Landfill Site,2__NEDFE000,SSC-EDF01,G,auto,
way/840181785,South Cathkin Landfill Site,2__NHYDE000,SSC-SSE01,G,auto,
way/840181785,South Cathkin Landfill Site,2__NSOUT000,SSC-STH01,G,auto,
way/840181785,South Cathkin Landfill Site,2__NSWAE000,SSC-SWA01,G,auto,
way/840181785,South Cathkin Landfill Site,2__KEDFE000,SWA-EDF01,G,auto,
way/840181785,South Cathkin Landfill Site,2__KMIDE000,SWA-MID01,G,auto,
way/840181785,South Cathkin Landfill Site,2__KNATP000,SWA-NPE01,G,auto,
way/840181785,South Cathkin Landfill Site,2__LEDFE000,SWT-EDF01,G,auto,
way/840181785,South Cathkin Landfill Site,2__LMIDE000,SWT-MID01,G,auto,
way/840181785,South Cathkin Landfill Site,2__LNATP000,SWT-NPE01,G,auto,
way/931146013,Energy Centre,T_EECL-1,EECL-1,T,auto,
way/956335701,Caledonian Papermill,T_MEADD-1,MEADD-1,T,auto,
way/956335705,Dunlop Landfill Gas Scheme,E_FDUN-1,FDUNT-1,E,auto,
way/956335708,Greengairs Landfill Scheme,E_GRGRW-1,GRGRW-1,E,auto,
way/1122850401,Whitelee Wind Farm Battery Storage,T_WHILW-2,WHILW-2,T,auto,
way/1122850401,Whitelee Wind Farm Battery Storage,T_WHLWB-1,WHLWB-1,T,auto,
way/1149307444,Byers Brae Battery Storage,2__NCPPR001,BYBRB-1,S,auto,
way/1152536439,Wishaw Battery,T_WISHB-1,WISHB-1,T,auto,
way/1152536439,Wishaw Battery,T_WISHD-1,WISHD-1,T,auto,
way/1187633533,Camilla Battery Storage,V__NHABI005,AG-HEL0DN,V,auto,
way/1210002953,Little Raith Battery Storage,E_LITRB-1,LITRB-1,E,auto,
way/1364037063,Shilton Lane Battery Storage,E_SHILB-1,SHILB-1,E,auto,
way/1426475892,Energy Centre,T_EECL-1,EECL-1,T,auto,
way/1474131593,Harestanes Windfarm BESS,T_HRSTW-1,HRSTW-1,T,auto,
way/1482240805,Neilston Greener Grid Park Phase I,T_NLSTB-1,NLSTB-1,T,auto,
way/24409061,Sloy Power station,M_SLOY-1,SLOY-1,T,auto,
way/24409061,Sloy Power station,T_SLOY-2,SLOY-2,T,auto,
way/24409061,Sloy Power station,T_SLOY-3,SLOY-3,T,auto,
way/24409061,Sloy Power station,M_SLOY-4,SLOY-4,T,auto,
way/24409061,Sloy Power station,T_SLOYD-1,SLOYD-1,T,auto,
way/94129731,Kinlochleven Hydro-electric Scheme,2__PMARB002,KNLCV-1,S,auto,
way/94249536,Lochaber Hydroelectric Scheme,2__PMARB001,LCSMH-1,S,auto,
way/207523493,Finlarig Power Station,T_FINL-1,FINL-1,T,auto,
way/219813087,Glendoe Hydro Scheme,T_GLNDO-1,GLNDO-1,T,auto,
way/219813087,Glendoe Hydro Scheme,T_GLNDOD1,GLNDOD1,T,auto,
way/239248123,Fasnakyle Power Station,T_FASN-1,FASN-1,T,auto,
